0	0	0.25	width	Front left	x	y	Front right	x	y
-0.453337	13.416778	-0.023504			-3.4407574631	13.9871454048		2.5575852991	13.8461343889
-0.450156	13.516726	-0.040138			-3.4276761241	14.1367049596		2.5674913476	13.895941619
-0.445317	13.616608	-0.056673			-3.4121792122	14.2857332603		2.5781878797	13.945877255
-0.438836	13.716396	-0.073045			-3.3943461693	14.4340028835		2.5896542305	13.9961225164
-0.430733	13.816066	-0.089188			-3.3742742551	14.5812881111		2.6018780612	14.0468692749
-0.421037	13.915594	-0.105039			-3.3520794466	14.7273760991		2.6148514005	14.0983003754
-0.409783	14.014958	-0.120535			-3.3278946719	14.8720602521		2.6285720146	14.1506001956
-0.39701	14.114138	-0.135615			-3.3018652674	15.0151462549		2.6430449572	14.2039481159
-0.382767	14.213117	-0.150221			-3.2741527603	15.1564559557		2.6582754075	14.2585160723
-0.367106	14.311882	-0.164293			-3.2449312595	15.2958137943		2.6742741517	14.3144844409
-0.350086	14.410423	-0.177776			-3.2143837312	15.4330659029		2.6910527954	14.3720195182
-0.331771	14.50873	-0.190618			-3.1827001297	15.5680708789		2.7086238672	14.4312764539
-0.312228	14.606802	-0.202768			-3.1500760266	15.7007026252		2.7270014171	14.492414282
-0.291532	14.704636	-0.214177			-3.1167152925	15.8308417378		2.746194597	14.5555819104
-0.269759	14.802236	-0.224801			-3.082818271	15.958392364		2.7662126446	14.6209181219
-0.24699	14.899609	-0.234597			-3.0485887726	16.083266179		2.7870598159	14.688559919
-0.223311	14.996765	-0.243527			-3.0142281486	16.2053929286		2.8087331985	14.7586306293
-0.198809	15.093717	-0.251557			-2.9799309907	16.3247167859		2.8312252461	14.8312432535
-0.173575	15.19048	-0.258653			-2.9458918706	16.4411834697		2.8545204623	14.9065119191
-0.1477	15.287075	-0.264788			-2.9122916805	16.5547629899		2.8785963432	14.984535014
-0.121281	15.383522	-0.269939			-2.8793061725	16.6654335211		2.9034168187	15.0653976441
-0.094414	15.479845	-0.274084			-2.8471019716	16.7731774904		2.9289392133	15.1491860404
-0.067198	15.57607	-0.277207			-2.8158334772	16.877992814		2.9551078235	15.2359707361
-0.03973	15.672223	-0.279295			-2.7856410726	16.9798821227		2.9818591085	15.3258139075
-0.012112	15.768334	-0.280342			-2.7566524488	17.0788673743		3.0091127621	15.4187614942
0.015556	15.86443	-0.280342			-2.7289844488	17.1749633743		3.0367807621	15.5148574942
0.043174	15.960541	-0.279295			-2.7027370726	17.2682001227		3.0647631085	15.6141319075
0.070642	16.056694	-0.277207			-2.6779934772	17.358616814		3.0929478235	15.7165947361
0.097859	16.152919	-0.274084			-2.6548289716	17.4462514904		3.1212122133	15.8222600404
0.124725	16.249242	-0.269939			-2.6333001725	17.5311535211		3.1494228187	15.9311176441
0.151144	16.345689	-0.264788			-2.6134476805	17.6133769899		3.1774403432	16.043149014
0.177019	16.442284	-0.258653			-2.5952978706	17.6929874697		3.2051144623	16.1583159191
0.202253	16.539047	-0.251557			-2.5788689907	17.7700467859		3.2322872461	16.2765732535
0.226755	16.635999	-0.243527			-2.5641621486	17.8446269286		3.2587991985	16.3978646293
0.250434	16.733155	-0.234597			-2.5511647726	17.916812179		3.2844838159	16.522105919
0.273203	16.830528	-0.224801			-2.539856271	17.986684364		3.3091746446	16.6492101219
0.294976	16.928128	-0.214177			-2.5302072925	18.0543337378		3.332702597	16.7790739104
0.315672	17.025962	-0.202768			-2.5221760266	18.1198626252		3.3549014171	16.911574282
0.335215	17.124034	-0.190618			-2.5157141297	18.1833748789		3.3756098672	17.0465804539
0.35353	17.222341	-0.177776			-2.5107677312	18.2449839029		3.3946687954	17.1839375182
0.37055	17.320881	-0.164293			-2.5072752595	18.3048127943		3.4119301517	17.3234834409
0.386211	17.419647	-0.150221			-2.5051747603	18.3629859557		3.4272534075	17.4650460723
0.400454	17.518626	-0.135615			-2.5044012674	18.4196342549		3.4405089572	17.6084361159
0.413227	17.617806	-0.120535			-2.5048846719	18.4749082521		3.4515820146	17.7534481956
0.424481	17.71717	-0.105039			-2.5065614466	18.5289520991		3.4603694005	17.8998763754
0.434177	17.816698	-0.089188			-2.5093642551	18.5819201111		3.4667880612	18.0475012749
0.44228	17.916368	-0.073045			-2.5132301693	18.6339748835		3.4707702305	18.1960945164
0.448761	18.016156	-0.056673			-2.5181012122	18.6852812603		3.4722658797	18.345425255
0.4536	18.116038	-0.040138			-2.5239201241	18.7360169596		3.4712473476	18.495253619
0.456782	18.215986	-0.023504			-2.5306384631	18.7863534048		3.4677042991	18.6453423889
0.461333	18.515948	-0.006838			-2.5351778896	19.0364501506		3.4646818363	18.9954224704
0.461185	18.615947	0.009796			-2.5435689804	19.0865354798		3.4561431371	19.1453105398
0.459378	18.71593	0.026331			-2.5527460565	19.1367728072		3.445174099	19.294740552
0.455927	18.815869	0.042703			-2.5626831077	19.1873431146		3.431847085	19.4434832508
0.450852	18.915739	0.058846			-2.5733612429	19.2384374067		3.4162531995	19.591309667
0.44418	19.015515	0.074697			-2.5847682059	19.2902380711		3.3985006503	19.7380034049
0.435945	19.115175	0.090193			-2.5968964869	19.3429303848		3.3787157205	19.8833549832
