FLX	FLY	FRX	FRY
2.270574981	19.61415016	8.239043285	18.99983256
2.270084327	19.67595574	8.245949336	19.13833376
2.269340173	19.73979098	8.251296048	19.27481366
2.268373683	19.80580315	8.255245052	19.40910274
2.267214239	19.87412834	8.25796221	19.54105365
2.265897884	19.94489708	8.259621163	19.6705228
2.264456519	20.01822628	8.260391166	19.79739217
2.262934291	20.09422995	8.260448734	19.9215438
2.261373241	20.1730063	8.259962058	20.0428825
2.259825569	20.25464364	8.259099803	20.1613234
2.258347738	20.33921738	8.258023074	20.27680051
2.257004723	20.42679609	8.256887236	20.38924833
2.25586924	20.51743353	8.255839755	20.49862356
2.255021144	20.61117173	8.255017856	20.60488973
2.254548	20.708031	8.254548	20.708031
2.254548	20.808031	8.254548	20.808031
2.255126144	20.91117173	8.255122856	20.90488973
2.25639224	21.01743253	8.256362755	20.99862256
2.258466723	21.12679309	8.258349236	21.08924533
2.261475738	21.23920738	8.261151074	21.17679051
2.265549569	21.35461664	8.264823803	21.2612964
2.270821241	21.4729443	8.269410058	21.3428205
2.277429291	21.59410395	8.274943734	21.4214178
2.285510519	21.71799228	8.281445166	21.49715817
2.295204884	21.84449208	8.288928163	21.5701178
2.306646239	21.97346634	8.29739421	21.64039165
2.319967683	22.10477015	8.306839052	21.70806974
2.335296173	22.23823998	8.317252048	21.77326266
2.352750327	22.37370474	8.328615336	21.83608276
2.372439981	22.51097316	8.340908285	21.89665556
2.394462743	22.64984802	8.354105954	21.95511585
2.418905458	22.79012346	8.368182663	22.01159874
2.445840271	22.93158063	8.383113029	22.06625283
2.475323794	23.07399801	8.398871875	22.119232
2.507393034	23.21714037	8.415435468	22.17070136
2.542070087	23.36077882	8.432783915	22.22082681
2.579357337	23.50467198	8.450902187	22.26977883
2.619237763	23.64858824	8.469778951	22.31773596
2.661671997	23.79228505	8.489408777	22.36488041
2.70660467	23.93553466	8.509792877	22.41139338
2.753956359	24.07810371	8.530938487	22.45746264
2.803633015	24.21977758	8.552859445	22.50327082
2.855517588	24.36033923	8.575576952	22.54900799
2.909479269	24.49958814	8.599118251	22.59485502
2.965366294	24.63732897	8.623517171	22.64100018
3.02301367	24.77338327	8.648811263	22.68762167
3.082242844	24.9075864	8.675045331	22.73490135
3.142861658	25.03978378	8.702265389	22.7830095
3.204674213	25.16984512	8.730523674	22.83211379
3.26746498	25.2976421	8.759871862	22.88238505
3.331019252	25.42306901	8.790362982	22.93397961
3.39511948	25.54603869	8.82204904	22.98704757
3.459542142	25.66647474	8.85498016	23.04173693
3.524063573	25.78431526	8.889205462	23.09819305
3.588462591	25.89951426	8.924764878	23.15654545
3.652521621	26.01203777	8.961698176	23.21692699
3.716029042	26.12186657	9.000033901	23.27945691
3.778781578	26.22899558	9.039791775	23.34424746
3.840576737	26.3334203	9.08098448	23.41141299
3.901231808	26.43515557	9.123614528	23.48105355
3.960572137	26.53422534	9.167669063	23.55326214
4.01843201	26.63065282	9.213128148	23.62813187
4.074660802	26.72447349	9.25995475	23.70574417
4.129121697	26.81572644	9.30810124	23.78617682
4.181698813	26.90446124	9.357503579	23.86949089
4.232281813	26.99072524	9.408086579	23.95575489
4.280779697	27.07456944	9.45975924	24.04501982
4.327123802	27.15605449	9.51241775	24.13732517
4.37124901	27.23523382	9.565945148	24.23271287
4.413114137	27.31217034	9.620211063	24.33120714
4.452691808	27.38692557	9.675074528	24.43282355
4.489972737	27.4595703	9.73038048	24.53756299
