FLX	FLY	FRX	FRY
-2.21155013	38.23091188	3.679773867	37.09411745
-2.206603731	38.2925219	3.698832795	37.23147552
-2.20311126	38.35235079	3.716094152	37.37102144
-2.20101076	38.41052296	3.731417408	37.51258307
-2.200237267	38.46717225	3.744672957	37.65597412
-2.200720672	38.52244625	3.755746015	37.8009862
-2.202397447	38.5764891	3.764533401	37.94741338
-2.205200255	38.62945711	3.770952061	38.09503827
-2.209066169	38.68151188	3.774934231	38.24363152
-2.213937212	38.73281926	3.77642988	38.39296326
-2.219756124	38.78355396	3.775411348	38.54279062
-2.226475463	38.8338914	3.771867299	38.69288039
-2.23101489	39.08398815	3.768844836	39.04296047
-2.23940498	39.13407248	3.760307137	39.19284754
-2.248582057	39.18430981	3.749338099	39.34227755
-2.258519108	39.23488011	3.736011085	39.49102025
-2.269197243	39.28597441	3.7204172	39.63884667
-2.280604206	39.33777507	3.70266465	39.7855404
-2.292732487	39.39046738	3.682879721	39.93089198
-2.305580253	39.44422694	3.661202597	40.07470487
-2.31914838	39.49923533	3.637790303	40.21678779
-2.333441305	39.55566364	3.612810523	40.35696833
-2.34846707	39.61368027	3.586440613	40.49508301
-2.36423216	39.67344361	3.558867484	40.63098766
-2.380746731	39.73511008	3.530281853	40.76454735
-2.398015288	39.79883108	3.500884	40.89563881
-2.416041941	39.8647449	3.470872181	41.02415946
-2.434826963	39.93298808	3.44044726	41.15001429
-2.454363818	40.00368037	3.409806975	41.27312943
-2.474643329	40.07694526	3.379146152	41.39343632
-2.495644519	40.152886	3.348655842	41.51088206
-2.51734165	40.23160306	3.318517473	41.62542812
-2.539697649	40.31318137	3.288904491	41.73704832
-2.56266593	40.39770575	3.259984229	41.84571995
-2.586190416	40.48524401	3.231909208	41.95143526
-2.610203454	40.57585834	3.204822081	42.05419458
-2.634625245	40.66958933	3.178849286	42.15401309
-2.659365245	40.76648033	3.154109286	42.25090409
-2.684323454	40.86655834	3.130702081	42.34489458
-2.709386416	40.96982901	3.108713208	42.43602026
-2.73443193	41.07630375	3.088218229	42.52431795
-2.759327649	41.18596737	3.069274491	42.60983432
-2.78393365	41.29879706	3.051925473	42.69262212
-2.808100519	41.41475	3.036199842	42.77274606
-2.831673329	41.53377726	3.022116152	42.85026832
-2.854493818	41.65581337	3.009676975	42.92526243
-2.876397963	41.78078008	2.99887626	42.99780629
-2.897220941	41.9085749	2.989693181	43.06798946
-2.916798288	42.03909308	2.982101	43.13590081
-2.934966731	42.17220608	2.976061853	43.20164335
-2.95157016	42.30777761	2.971529484	43.26532166
-2.96645407	42.44565027	2.968453613	43.32705301
-2.979473305	42.58565564	2.966778523	43.38696033
-2.99049538	42.72761733	2.966443303	43.44516979
-2.999394253	42.87134094	2.967388597	43.50181887
-3.006062487	43.01662538	2.969549721	43.55704998
-3.010404206	43.16325207	2.97286465	43.6110174
-3.012341243	43.31100341	2.9772732	43.66387567
-3.011814108	43.45964911	2.982716085	43.71578925
-3.008779057	43.60895781	2.989141099	43.76692555
-3.00321498	43.75868548	2.996497137	43.81746054
-2.99511989	43.90859815	3.004739836	43.86757047
-2.984512463	44.0584504	3.013830299	43.91743939
-2.971430124	44.20801096	3.023737348	43.96724762
-2.955934212	44.35703826	3.03443288	44.01718226
-2.938100169	44.50530888	3.045900231	44.06742852
-2.918029255	44.65259411	3.058123061	44.11817527
-2.895834447	44.7986821	3.071096401	44.16960638
-2.871648672	44.94336625	3.084818015	44.2219062
-2.845620267	45.08645225	3.099289957	44.27525412
-2.81790676	45.22776196	3.114521408	44.32982207
-2.78868626	45.36711979	3.130519152	44.38579044
-2.758138731	45.5043719	3.147297795	44.44332552
-2.72645413	45.63937688	3.164869867	44.50258245
-2.693830027	45.77200763	3.183247417	44.56371928
-2.660469293	45.90214774	3.202440597	44.62688791
-2.626572271	46.02969836	3.222458645	44.69222412
-2.592343773	46.15457218	3.243304816	44.75986592
-2.557983149	46.27669893	3.264978199	44.82993663
-2.523684991	46.39602179	3.287471246	44.90254825
-2.489645871	46.51248947	3.310766462	44.97781792
-2.456046681	46.62606799	3.334841343	45.05584001
-2.423061173	46.73673852	3.359661819	45.13670264
-2.390856972	46.84448349	3.385184213	45.22049204
-2.359587477	46.94929881	3.411353824	45.30727674
-2.329396073	47.05118812	3.438104109	45.39711991
-2.300406449	47.15017337	3.465358762	45.49006749
-2.272738449	47.24626937	3.493026762	45.58616349
-2.246491073	47.33950512	3.521009109	45.68543691
-2.221747477	47.42992281	3.549193824	45.78790074
-2.198583972	47.51755749	3.577457213	45.89356604
-2.177054173	47.60245952	3.605668819	46.00242364
-2.157201681	47.68468299	3.633686343	46.11445501
-2.139052871	47.76429347	3.661359462	46.22962192
-2.122622991	47.84135279	3.688533246	46.34787925
-2.107916149	47.91593293	3.715045199	46.46917063
-2.094918773	47.98811718	3.740729816	46.59341092
-2.083610271	48.05799036	3.765420645	46.72051612
-2.073961293	48.12563974	3.788948597	46.85037991
-2.065930027	48.19116863	3.811147417	46.98288028
-2.05946813	48.25467988	3.831855867	47.11788545
-2.054521731	48.3162899	3.850914795	47.25524352
-2.05102926	48.37611879	3.868176152	47.39478944
-2.04892876	48.43429196	3.883499408	47.53635207
-2.048155267	48.49094025	3.896754957	47.67974212
-2.048638672	48.54621425	3.907828015	47.8247542
-2.050315447	48.6002581	3.916615401	47.97118238
-2.053118255	48.65322611	3.923034061	48.11880727
-2.056984169	48.70528088	3.927016231	48.26740052
-2.061855212	48.75658726	3.92851188	48.41673126
-2.067674124	48.80732296	3.927493348	48.56655962
-2.074393463	48.8576594	3.923949299	48.71664839
-2.07893289	49.10775615	3.920926836	49.06672847
-2.08732398	49.15784148	3.912388137	49.21661654
-2.096500057	49.20807881	3.901420099	49.36604655
-2.106437108	49.25864911	3.888093085	49.51478925
-2.117115243	49.30974341	3.8724992	49.66261567
-2.128522206	49.36154407	3.85474665	49.8093094
-2.140650487	49.41423538	3.834961721	49.95465998
-2.153498253	49.46799494	3.813284597	50.09847287
-2.16706638	49.52300333	3.789872303	50.24055579
-2.181359305	49.57943164	3.764892523	50.38073633
-2.19638507	49.63744827	3.738522613	50.51885101
-2.21215116	49.69721161	3.710948484	50.65475566
-2.228664731	49.75887808	3.682363853	50.78831535
-2.245933288	49.82260008	3.652966	50.91940781
-2.263959941	49.8885139	3.622954181	51.04792846
-2.282744963	49.95675708	3.59252926	51.17378329
-2.302281818	50.02744937	3.561888975	51.29689843
-2.322561329	50.10071326	3.531228152	51.41720432
-2.343562519	50.176655	3.500737842	51.53465106
-2.36525965	50.25537206	3.470599473	51.64919712
-2.387615649	50.33695037	3.440986491	51.76081732
-2.41058493	50.42147475	3.412065229	51.86948895
-2.434109416	50.50901301	3.383990208	51.97520426
-2.458121454	50.59962734	3.356904081	52.07796358
-2.482543245	50.69335833	3.330931286	52.17778209
-2.507283245	50.79024933	3.306191286	52.27467309
-2.532241454	50.89032634	3.282784081	52.36866258
-2.557304416	50.99359801	3.260795208	52.45978926
-2.58234993	51.10007175	3.240300229	52.54808595
